model,encoder,axis,imagenet,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice,test_loss,test_iou,test_dice
linknet,resnet18,1,yes,0.19056101143360138,0.8528470993041992,0.9204797744750977,0.3452874720096588,0.6941816806793213,0.7975863218307495,0.3737335503101349,0.7021329998970032,0.8138198256492615
linknet,resnet34,1,yes,0.09839245676994324,0.8581384420394897,0.9234824180603027,0.23145434260368347,0.7032771706581116,0.8070263862609863,0.2918233573436737,0.709794819355011,0.8162392973899841
linknet,se_resnet50,1,yes,0.08699516206979752,0.8522392511367798,0.9198841452598572,0.19352124631404877,0.7146419286727905,0.8165482878684998,0.19598646461963654,0.7193233966827393,0.8260737657546997
linknet,resnext50_32x4d,1,yes,0.08632656186819077,0.8468164801597595,0.9165710210800171,0.1893480122089386,0.7189012765884399,0.8211036324501038,0.18720343708992004,0.7265920639038086,0.8332548141479492
linknet,densenet121,1,yes,0.08292257785797119,0.8503741025924683,0.9187465906143188,0.1825219690799713,0.7210376262664795,0.8209766745567322,0.183794766664505,0.7153069972991943,0.8208817839622498
linknet,densenet169,1,yes,0.07689638435840607,0.8595226407051086,0.9241366386413574,0.18533413112163544,0.7145324349403381,0.8165683150291443,0.16367213428020477,0.734868586063385,0.8392029404640198
linknet,efficientnet-b0,1,yes,0.10864292085170746,0.8101955056190491,0.8942877650260925,0.2080012410879135,0.6935232877731323,0.7970327734947205,0.19136841595172882,0.7025392055511475,0.8155900835990906
linknet,efficientnet-b1,1,yes,0.10712499916553497,0.8131719827651978,0.8961806297302246,0.19238658249378204,0.7085328102111816,0.8128416538238525,0.2043858766555786,0.7013828754425049,0.8134865760803223
linknet,mobilenet_v2,1,yes,0.11906901001930237,0.8047526478767395,0.890853226184845,0.21364085376262665,0.6925094723701477,0.803163468837738,0.21972736716270447,0.6965569853782654,0.8078839182853699
pspnet,resnet18,1,yes,0.1468062698841095,0.7508156299591064,0.8573893904685974,0.23411092162132263,0.6499988436698914,0.7728390097618103,0.25693485140800476,0.6259644627571106,0.7540819644927979
pspnet,resnet34,1,yes,0.13169296085834503,0.7727845311164856,0.8713538646697998,0.21343998610973358,0.6771082282066345,0.7889878749847412,0.21300983428955078,0.669344961643219,0.7905974984169006
pspnet,se_resnet50,1,yes,0.10234421491622925,0.8173231482505798,0.8991184830665588,0.20868703722953796,0.6834421157836914,0.7921940684318542,0.1945413500070572,0.6877795457839966,0.8067463636398315
pspnet,resnext50_32x4d,1,yes,0.11938489973545074,0.7914140820503235,0.8830071091651917,0.21416926383972168,0.677577018737793,0.7879238724708557,0.21004535257816315,0.6724262833595276,0.7931331992149353
pspnet,densenet121,1,yes,0.1104423850774765,0.805083155632019,0.8915700316429138,0.20660042762756348,0.684688150882721,0.794985294342041,0.227705180644989,0.6602187156677246,0.7731992602348328
pspnet,densenet169,1,yes,0.1192893460392952,0.7915656566619873,0.8830570578575134,0.21088747680187225,0.6819179058074951,0.7908881306648254,0.23335330188274384,0.6548988223075867,0.7679848670959473
pspnet,efficientnet-b0,1,yes,0.1991761028766632,0.6758989691734314,0.8045775294303894,0.27907171845436096,0.5947986245155334,0.7247978448867798,0.2572087049484253,0.6183772683143616,0.7491175532341003
pspnet,efficientnet-b1,1,yes,0.19151751697063446,0.686273992061615,0.8119129538536072,0.26276350021362305,0.6148968935012817,0.7404100894927979,0.2638360857963562,0.6103203892707825,0.7406105995178223
pspnet,mobilenet_v2,1,yes,0.18247321248054504,0.6989523768424988,0.821258544921875,0.2494615912437439,0.6311652064323425,0.757059633731842,0.2614135146141052,0.6187224388122559,0.7458269000053406
fpn,resnet18,1,yes,0.08189016580581665,0.8532056212425232,0.9207040071487427,0.18393005430698395,0.7144461274147034,0.818247377872467,0.17255757749080658,0.7174040675163269,0.8310968279838562
fpn,resnet34,1,yes,0.08427511900663376,0.848980188369751,0.918096125125885,0.18754205107688904,0.7108839750289917,0.8144403100013733,0.16521336138248444,0.7318083643913269,0.8368098735809326
fpn,se_resnet50,1,yes,0.07905862480401993,0.8571626543998718,0.9227161407470703,0.18706592917442322,0.711775004863739,0.8141294717788696,0.16128410398960114,0.7339726090431213,0.8403673768043518
fpn,resnext50_32x4d,1,yes,0.0827246755361557,0.8507229089736938,0.9189879298210144,0.17868520319461823,0.7214834690093994,0.8229396939277649,0.16032789647579193,0.7323742508888245,0.8414497375488281
fpn,densenet121,1,yes,0.0779147669672966,0.859133780002594,0.9239330291748047,0.18176233768463135,0.715282678604126,0.8195063471794128,0.16200706362724304,0.7342472672462463,0.8391773104667664
fpn,densenet169,1,yes,0.0854736715555191,0.8469721674919128,0.9167436361312866,0.17778843641281128,0.7239994406700134,0.8236134052276611,0.16098947823047638,0.7342914342880249,0.8405333757400513
fpn,efficientnet-b0,1,yes,0.1100505068898201,0.8084768652915955,0.8933014273643494,0.19863826036453247,0.6938923597335815,0.8047564029693604,0.17297503352165222,0.718682587146759,0.8296124935150146
fpn,efficientnet-b1,1,yes,0.10504593700170517,0.8160611391067505,0.8980321288108826,0.18755586445331573,0.7090156674385071,0.8151464462280273,0.17260828614234924,0.718813955783844,0.8296410441398621
fpn,mobilenet_v2,1,yes,0.09824367612600327,0.8263772130012512,0.9042605757713318,0.19007736444473267,0.7079050540924072,0.8124558925628662,0.18082639575004578,0.7072573900222778,0.8211092352867126
unet,resnet18,1,yes,0.08643736690282822,0.8675828576087952,0.9290209412574768,0.2252541184425354,0.7018699645996094,0.804530918598175,0.23501700162887573,0.6980589032173157,0.8086301684379578
unet,resnet34,1,yes,0.09839420765638351,0.8411789536476135,0.9134483933448792,0.20403842628002167,0.7176743745803833,0.8194018006324768,0.30133867263793945,0.6948144435882568,0.8072869777679443
unet,se_resnet50,1,yes,0.08128423988819122,0.8518540859222412,0.9196081757545471,0.1807144433259964,0.721464216709137,0.822124719619751,0.17930039763450623,0.7187915444374084,0.824434757232666
unet,resnext50_32x4d,1,yes,0.08435088396072388,0.8477336764335632,0.9171839356422424,0.18103134632110596,0.722120463848114,0.8225058317184448,0.16841711103916168,0.7311612963676453,0.836231529712677
unet,densenet121,1,yes,0.0859735906124115,0.8450503349304199,0.9156193137168884,0.18819977343082428,0.7121976613998413,0.8138128519058228,0.18418116867542267,0.7211124300956726,0.8234860897064209
unet,densenet169,1,yes,0.09867467731237411,0.8258722424507141,0.9038655757904053,0.18430432677268982,0.7196042537689209,0.8194781541824341,0.18550065159797668,0.7370262742042542,0.8405942916870117
unet,efficientnet-b0,1,yes,0.10156752169132233,0.8229176998138428,0.9021373987197876,0.1915598213672638,0.714175283908844,0.8143625259399414,0.23072491586208344,0.6924044489860535,0.8063830137252808
unet,efficientnet-b1,1,yes,0.09150923043489456,0.8347792029380798,0.9093741774559021,0.18474599719047546,0.7141207456588745,0.8163018226623535,0.18856565654277802,0.7096502780914307,0.8146682977676392
unet,mobilenet_v2,1,yes,0.08355103090065018,0.847167734102541,0.9168730172834412,0.18453946965996934,0.7124412712210443,0.8162086312508868,0.19687479095799598,0.6924167499445112,0.8038629009429961
